acpid 2.0.28-1
adobe-source-code-pro-fonts 2.030ro+1.050it-3
adobe-source-han-sans-cn-fonts 1.004-1
adobe-source-han-sans-jp-fonts 1.004-1
adobe-source-han-sans-kr-fonts 1.004-1
adobe-source-han-sans-otc-fonts 1.004-1
adobe-source-han-sans-tw-fonts 1.004-1
adobe-source-sans-pro-fonts 2.020ro+1.075it-2
adobe-source-serif-pro-fonts 2.000-1
alsa-utils 1.1.3-2
antergos-keyring 20150806-1
antergos-mirrorlist 20161107-2
autoconf 2.69-4
automake 1.15-2
b43-fwcutter 019-1
bash 4.4.012-2
bash-completion 2.5-1
bind-tools 9.11.0.P3-2
binutils 2.27-1
bison 3.0.4-2
btrfs-progs 4.9.1-1
bzip2 1.0.6-6
bzr 2.7.0-2
cabextract 1.6-1
calibre 2.80.0-1
cmake 3.7.2-1
coreutils 8.26-1
crda 3.18-1
cryptsetup 1.7.3-1
cups 2.2.2-2
cups-pk-helper 0.2.6-1
device-mapper 2.02.168-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170131-1
diffutils 3.5-1
discord 0.0.1-7
dmenu 4.6-1
dmraid 1.0.0.rc16.3-10
dosfstools 4.0-3
e2fsprogs 1.43.4-1
exfat-utils 1.2.6-1
f2fs-tools 1.8.0-1
fakeroot 1.21-2
feh 2.18.2-1
file 5.30-1
filesystem 2016.12-2
findutils 4.6.0-2
firefox 51.0.1-1
flatabulous 16.04-1
flex 2.6.3-1
gawk 4.1.4-2
gettext 0.19.8.1-2
gimp 2.8.18-5
git 2.12.0-1
glibc 2.24-2
gnome-terminal 3.22.1-1
gnuplot 5.0.5-2
google-chrome 56.0.2924.87-1
grep 3.0-1
groff 1.22.3-7
grub 1:2.02.rc1-1
grub2-theme-antergos 0.1-1
gsfonts 20160531-3
gzip 1.8-2
haveged 1.9.1-2
hplip 3.16.11-2
i3-gaps-git 4.13-2
i3blocks-gaps-git 1.4.r36.g578e878-1
i3lock 2.8-1
i3status 2.11-1
ibus 1.5.14-2
ibus-libpinyin 1.8.91-1
ibus-sunpinyin 3.0.0rc1-3
inetutils 1.9.4-5
inkscape 0.92.1-1
iproute2 4.10.0-2
iputils 20161105.1f2bb12-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
j4-dmenu-desktop 2.14-1
jfsutils 1.1.15-4
less 487-1
libreoffice-fresh 5.3.0-2
libtool 2.4.6-7
licenses 20140629-1
lightdm 1:1.20.0-2
lightdm-gtk-greeter 1:2.0.2-1
linux 4.9.11-1
linux-headers 4.9.11-1
linux-lts 4.9.13-1
logrotate 3.11.0-1
lvm2 2.02.168-1
lxappearance 0.6.3-1
m4 1.4.18-1
make 4.2.1-1
